Form_Type,Index_URL,Downloaded_Filename,Local_Path,Company_Bucket,Company_Name
10-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000079/0000320193-25-000079-index.htm,a10-kexhibit32109272025.htm,./healthy/Apple/a10-kexhibit32109272025.htm,healthy,Apple
10-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000079/0000320193-25-000079-index.htm,a10-kexhibit23109272025.htm,./healthy/Apple/a10-kexhibit23109272025.htm,healthy,Apple
10-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000079/0000320193-25-000079-index.htm,a10-kexhibit21109272025.htm,./healthy/Apple/a10-kexhibit21109272025.htm,healthy,Apple
10-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000079/0000320193-25-000079-index.htm,ix,./healthy/Apple/ix,healthy,Apple
10-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000079/0000320193-25-000079-index.htm,a10-kexhibit4109272025.htm,./healthy/Apple/a10-kexhibit4109272025.htm,healthy,Apple
10-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000079/0000320193-25-000079-index.htm,a10-kexhibit31209272025.htm,./healthy/Apple/a10-kexhibit31209272025.htm,healthy,Apple
10-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000079/0000320193-25-000079-index.htm,a10-kexhibit31109272025.htm,./healthy/Apple/a10-kexhibit31109272025.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000073/0000320193-25-000073-index.htm,a10-qexhibit31206282025.htm,./healthy/Apple/a10-qexhibit31206282025.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000073/0000320193-25-000073-index.htm,a10-qexhibit31106282025.htm,./healthy/Apple/a10-qexhibit31106282025.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000073/0000320193-25-000073-index.htm,a10-qexhibit32106282025.htm,./healthy/Apple/a10-qexhibit32106282025.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000073/0000320193-25-000073-index.htm,ix,./healthy/Apple/ix,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000057/0000320193-25-000057-index.htm,a10-qexhibit31103292025.htm,./healthy/Apple/a10-qexhibit31103292025.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000057/0000320193-25-000057-index.htm,a10-qexhibit32103292025.htm,./healthy/Apple/a10-qexhibit32103292025.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000057/0000320193-25-000057-index.htm,a10-qexhibit31203292025.htm,./healthy/Apple/a10-qexhibit31203292025.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000057/0000320193-25-000057-index.htm,ix,./healthy/Apple/ix,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000008/0000320193-25-000008-index.htm,a10-qexhibit32112282024.htm,./healthy/Apple/a10-qexhibit32112282024.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000008/0000320193-25-000008-index.htm,a10-qexhibit31112282024.htm,./healthy/Apple/a10-qexhibit31112282024.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000008/0000320193-25-000008-index.htm,a10-qexhibit31212282024.htm,./healthy/Apple/a10-qexhibit31212282024.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000008/0000320193-25-000008-index.htm,a10-qexhibit10112282024.htm,./healthy/Apple/a10-qexhibit10112282024.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000008/0000320193-25-000008-index.htm,a10-qexhibit10212282024.htm,./healthy/Apple/a10-qexhibit10212282024.htm,healthy,Apple
10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000008/0000320193-25-000008-index.htm,ix,./healthy/Apple/ix,healthy,Apple
10-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000123/0000320193-24-000123-index.htm,ix,./healthy/Apple/ix,healthy,Apple
