issuer,ticker,fiscal_year,report_date,market_equity,equity_volatility,short_term_debt,long_term_debt,default_point,asset_value_A,asset_vol_sigmaA,DD,PD,classification
AMD,AMD,1993.0,1993-12-26,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,1994.0,1994-12-25,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,1995.0,1995-12-31,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,1996.0,1996-12-29,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,1997.0,1997-09-28,343158620160.0,0.6053405337343142,5300.0,38417.0,24508.5,343158643473.20636,0.6456965263005603,25.2382051840803,7.630370263658669e-141,healthy
AMD,AMD,1998.0,1998-12-27,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,1999.0,1999-09-26,343158620160.0,0.6053405337343142,4721.0,-98990.0,-44774.0,,,,,unknown
AMD,AMD,2000.0,2000-10-01,343158620160.0,0.6053405337343142,602150.0,262844.0,733572.0,343159317955.27136,0.6456952574929001,19.974311869896447,4.607242141936833e-89,healthy
AMD,AMD,2001.0,2001-12-30,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,2002.0,2002-12-29,343158620160.0,0.6053405337343142,3.0,3.0,4.5,343158620164.2805,0.8071207127432675,30.70378310971544,2.5334531603602918e-207,healthy
AMD,AMD,2003.0,2003-12-28,343158620160.0,0.6053405337343142,1.0,1.0,1.5,343158620161.4268,0.8071207127523313,32.06493302324925,6.797768042309421e-226,healthy
AMD,AMD,2004.0,2004-12-26,343158620160.0,0.6053405337343142,1.0,1.0,1.5,343158620161.4268,0.8071207127523313,32.06493302324925,6.797768042309421e-226,healthy
AMD,AMD,2005.0,2005-12-25,343158620160.0,0.6053405337343142,21.0,1.0,21.5,343158620180.4514,0.8071207126919047,28.766061140624142,2.8519714992029822e-182,healthy
AMD,AMD,2006.0,2006-12-31,343158620160.0,0.6053405337343142,0.0,1.0,0.5,343158620160.4756,0.8071207127553528,33.426082937015636,2.865289677755122e-245,healthy
AMD,AMD,2007.0,2007-12-29,343158620160.0,0.6053405337343142,12.0,1.0,12.5,343158620171.8904,0.8071207127190967,29.437985775254358,8.969899496895419e-191,healthy
AMD,AMD,2008.0,2008-12-27,343158620160.0,0.6053405337343142,12.0,1.0,12.5,343158620171.8904,0.8071207127190967,29.437985775254358,8.969899496895419e-191,healthy
AMD,AMD,2009.0,2009-12-26,343158620160.0,0.6053405337343142,18.0,1.0,18.5,343158620177.5977,0.8071207127009687,28.95225658872516,1.314294725076785e-184,healthy
AMD,AMD,2010.0,2010-12-25,343158620160.0,0.6053405337343142,18.0,146.0,91.0,343158620246.5619,0.8071207124819217,26.978464139744258,1.322474373675876e-160,healthy
AMD,AMD,2011.0,2011-12-31,343158620160.0,0.6053405337343142,18.0,,,,,,,unknown
AMD,AMD,2012.0,2012-12-29,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,2013.0,2013-12-28,343158620160.0,0.6053405337343142,18.0,,,,,,,unknown
AMD,AMD,2014.0,2014-12-27,343158620160.0,0.6053405337343142,18.0,146.0,91.0,343158620246.5619,0.8071207124819217,26.978464139744258,1.322474373675876e-160,healthy
AMD,AMD,2015.0,2015-12-26,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,2016.0,2016-12-31,343158620160.0,0.6053405337343142,120.0,10.0,125.0,343158620278.9037,0.8071207123791967,26.58514722572139,5.040709596863205e-156,healthy
AMD,AMD,2017.0,2017-12-30,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,2018.0,2018-12-29,343158620160.0,0.6053405337343142,120.0,,,,,,,unknown
AMD,AMD,2019.0,2019-12-28,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,2020.0,2020-12-26,343158620160.0,0.6053405337343142,2490000000.0,1369000000.0,3174500000.0,346178010555.1024,1.1990437705324783,3.355131898887571,0.00039663575776863094,healthy
AMD,AMD,2021.0,2021-12-25,343158620160.0,0.6053405337343142,3162000000.0,3648000000.0,4986000000.0,347899846505.21014,1.1925026968820365,3.0056530053883472,0.0013250561439256626,healthy
AMD,AMD,2022.0,2022-12-31,343158620160.0,0.6053405337343142,1320000000.0,1264000000.0,1952000000.0,345015381520.64075,1.2035010482104573,3.7395290451426093,9.21826727668923e-05,healthy
AMD,AMD,2023.0,2023-12-30,343158620160.0,0.6053405337343142,,,,,,,,unknown
AMD,AMD,2024.0,2024-12-28,343158620160.0,0.6053405337343142,1641000000.0,1900000000.0,2591000000.0,345623128995.2193,1.2011687866145975,3.514828121880442,0.00022001934458138224,healthy
AMD,AMD,2025.0,2025-09-27,343158620160.0,0.6053405337343142,,,,,,,,unknown
Adobe,ADBE,1994.0,1994-11-25,151197597696.0,0.30821071641640807,-1.0,,84366.0,151197677947.42163,0.328757923362727,43.78569238404426,0.0,healthy
