label_raw,y,issuer,company_name,cik,accession,form,report_date,filed_date,fiscal_year,path,flags_raw,regime,trust_score,eligible_solvency,n_fields,mid_00,mid_01,mid_02,mid_03,mid_04,mid_05,mid_06,mid_07,mid_08,mid_09,mid_10,mid_11,mid_12,mid_13,mid_14,mid_15,mid_16,mid_17,mid_18,mid_19,mid_20,mid_21,mid_22,mid_23,mid_24,mid_25,mid_26,mid_27,mid_28,mid_29,mid_30,mid_31,flag__SGML_Primary_SEQ1,flag__MissingH,flag__LabelFallback_Tight,flag__InlineXBRL,flag__HProxyIsCashOnly,flag__SALVAGE_DerivedE_AminusL,flag__SANITY_FAIL_BS_MISMATCH,flag__HTMLTables_Targeted,flag__SGML_Primary_HTMLFallback,flag__HTML:Pi_Net_Income,flag__HTML:R_Total_Revenue,flag__HTML:Marketable_Securities,flag__HTML:Operating_Income,flag__HTML:E_Total_Equity,flag__HTML:Cash_CashEquiv,flag__DerivedL_AminusE,flag__PlainXBRL,flag__HTML:A_Total_Assets,flag__DerivedE_AminusL,flag__HTML:L_Total_Liabilities,flag__DerivedL_SumCurrentNoncurrent,flag__SANITY_DROP_OperatingIncome_OutOfRange,flag__SGML_NoMatchingType,float_tail_0,float_tail_1
healthy,0,AMD,ADVANCED MICRO DEVICES INC,0000002488,0000891618-94-000068,10-K,1993-12-26,1993-12-26,1993.0,healthy/AMD/0000891618-94-000068.txt,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,A,0.103275,False,30,,,,,,,,-3.0,,,,,,,0.05,0.08,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
healthy,0,AMD,ADVANCED MICRO DEVICES INC,0000002488,0000898430-95-001399,10-K,1994-12-25,1994-12-25,1994.0,healthy/AMD/0000898430-95-001399.txt,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,A,0.103275,False,30,,,,,,,,,,,,,,,0.05,0.08,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
healthy,0,AMD,ADVANCED MICRO DEVICES INC,0000002488,0000898430-96-003467,10-K,1995-12-31,1995-12-31,1995.0,healthy/AMD/0000898430-96-003467.txt,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,A,0.103275,False,30,,,,,,,,,,,,,,,0.05,0.08,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
healthy,0,AMD,ADVANCED MICRO DEVICES INC,0000002488,0001012870-97-000533,10-K,1996-12-29,1996-12-29,1996.0,healthy/AMD/0001012870-97-000533.txt,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,A,0.103275,False,30,,,,,,,,,,,,,,,0.05,0.08,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
healthy,0,AMD,ADVANCED MICRO DEVICES INC,0000002488,0001012870-97-002210,10-Q,1997-09-28,1997-09-28,1997.0,healthy/AMD/0001012870-97-002210.txt,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,A,0.103275,False,30,,,2043617.0,596644.0,5300.0,38417.0,162781.0,278229.0,441010.0,,591344.0,,,,0.05,0.08,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
healthy,0,AMD,ADVANCED MICRO DEVICES INC,0000002488,0001012870-99-000892,10-K,1998-12-27,1998-12-27,1998.0,healthy/AMD/0001012870-99-000892.txt,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,A,0.103275,False,30,,,,,,,,,,,,,,,0.05,0.08,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
healthy,0,AMD,ADVANCED MICRO DEVICES INC,0000002488,0001012870-99-003915,10-Q,1999-09-26,1999-09-26,1999.0,healthy/AMD/0001012870-99-003915.txt,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,A,0.103275,False,30,,,1918765.0,662192.0,4721.0,-98990.0,93267.0,283768.0,377035.0,,657471.0,,,,0.05,0.08,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
healthy,0,AMD,ADVANCED MICRO DEVICES INC,0000002488,0001012870-00-005706,10-Q,2000-10-01,2000-10-01,2000.0,healthy/AMD/0001012870-00-005706.txt,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,A,0.103275,False,30,,,2901214.0,1206549.0,602150.0,262844.0,582299.0,651198.0,1233497.0,,604399.0,,,,0.05,0.08,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
healthy,0,AMD,AMD,,,10-K,2001-12-30,2001-12-30,2001.0,healthy/AMD/d10k.txt,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,A,0.103275,False,30,,,,,,,,,,,,,,,0.05,0.08,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
healthy,0,AMD,ADVANCED MICRO DEVICES INC,0000002488,0001012870-03-001181,10-K,2002-12-29,2002-12-29,2002.0,healthy/AMD/0001012870-03-001181.txt,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,A,0.103275,False,30,,,,,3.0,3.0,3.0,9.0,12.0,,,,,,0.05,0.08,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
