company_bucket,company_folder,file_path,rel_path,company_name,cik,accession_number,form_type,period_of_report,fiscal_year,A_Total_Assets,L_Total_Liabilities,E_Total_Equity,R_Total_Revenue,Pi_Net_Income,Operating_Income,Cash_CashEquiv,Marketable_Securities,H_HQLA_Proxy,BS_Check_LplusE,C_Derived_Cost,BS_Residual_A_minus_L_minus_E,Liquidity_Ratio_H_over_A,Capital_Ratio_E_over_A,Lambda_Assumed,Kappa_Assumed,Liquidity_Pass_H_ge_lambdaA,Capital_Pass_E_ge_kappaA,flags,period_dt,q_year,q_num,form_pri,completeness,predicted_bucket,confidence,flag_unknown,p_nonhealthy,p_failed,p_healthy,p_risky,pd_raw,pd_used,EAD_used,LGD_used
failed,3D Systems,data/failed/3D Systems/0001628280-25-048915.txt,failed/3D Systems/0001628280-25-048915.txt,3D SYSTEMS CORP,910638.0,0001628280-25-048915,10-Q,20250930,2025,554549000.0,331257000.0,223292000.0,52311000.0,18053000.0,21310000.0,114239000.0,,114239000.0,554549000.0,34258000.0,0.0,0.2060034370272059,0.4026551305655587,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-09-30,2025,3,0,6,failed,0.5209122588643865,0,0.6954991087452446,0.5209122588643865,0.1878713661778068,0.2912163749578066,0.6665204463432899,0.6665204463432899,1.0,0.45
healthy,AMD,data/healthy/AMD/0000002488-25-000166.txt,healthy/AMD/0000002488-25-000166.txt,ADVANCED MICRO DEVICES INC,2488.0,0000002488-25-000166,10-Q,20250927,2025,76891000000.0,14234000000.0,62657000000.0,9246000000.0,1243000000.0,1270000000.0,4808000000.0,2435000000.0,7243000000.0,76891000000.0,8003000000.0,0.0,0.0941982806830448,0.8148808052958083,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;DerivedL_AminusE,2025-09-27,2025,3,0,6,healthy,0.4265769534405128,0,0.5357256151354833,0.1585112732573973,0.4265769534405128,0.4149117733020899,0.36596715990844225,0.36596715990844225,1.0,0.45
healthy,Adobe,data/healthy/Adobe/0000796343-25-000107.txt,healthy/Adobe/0000796343-25-000107.txt,ADOBE INC.,796343.0,0000796343-25-000107,10-Q,20250829,2025,28754000000.0,16984000000.0,11770000000.0,5791000000.0,1772000000.0,2173000000.0,4982000000.0,958000000.0,5940000000.0,28754000000.0,4019000000.0,0.0,0.2065799540933435,0.4093343534812548,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-08-29,2025,3,0,6,healthy,0.4766733956100591,0,0.3822866537873977,0.2276794463236166,0.4766733956100591,0.2956471580663242,0.3755030253567787,0.3755030253567787,1.0,0.45
healthy,Amazon,data/healthy/Amazon/0001018724-25-000123.txt,healthy/Amazon/0001018724-25-000123.txt,AMAZON COM INC,1018724.0,0001018724-25-000123,10-Q,20250930,2025,727921000000.0,358290000000.0,369631000000.0,74058000000.0,21187000000.0,17422000000.0,70464000000.0,27275000000.0,97739000000.0,727921000000.0,52871000000.0,0.0,0.134271438796243,0.5077899936943707,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;DerivedL_AminusE,2025-09-30,2025,3,0,6,healthy,0.4448877257416866,0,0.3396994942291942,0.3065530989764017,0.4448877257416866,0.2485591752819115,0.43083268661735746,0.43083268661735746,1.0,0.45
healthy,Apple,data/healthy/Apple/0000320193-25-000079.txt,healthy/Apple/0000320193-25-000079.txt,Apple Inc.,320193.0,0000320193-25-000079,10-Q,20250927,2025,359241000000.0,285508000000.0,93568000000.0,307003000000.0,112010000000.0,133050000000.0,35934000000.0,18763000000.0,54697000000.0,359241000000.0,194993000000.0,-19835000000.0,0.1522571198721749,0.2604602481342608,0.05,0.08,True,True,SGML_Primary_HTMLFallback;InlineXBRL,2025-09-27,2025,3,0,6,healthy,0.5056720745115221,0,0.4089826560318979,0.147805207452578,0.5056720745115221,0.3465227180358999,0.32106656647052795,0.32106656647052795,1.0,0.45
failed,BlackBerry,data/failed/BlackBerry/0001070235-25-000176.txt,failed/BlackBerry/0001070235-25-000176.txt,BLACKBERRY Ltd,1070235.0,0001070235-25-000176,10-Q,20250831,2025,1184100000.0,459000000.0,725100000.0,129600000.0,13300000.0,11500000.0,8212000000.0,8212000000.0,16424000000.0,1184100000.0,116300000.0,0.0,13.870450130901109,0.6123638206232582,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-08-31,2025,3,0,6,failed,0.5470466894935103,0,0.778538438893076,0.5470466894935103,0.160929795245519,0.2920235152609705,0.6930584471239956,0.6930584471239956,1.0,0.45
risky,Block,data/risky/Block/0001628280-25-050234.txt,risky/Block/0001628280-25-050234.txt,"Block, Inc.",1512673.0,0001628280-25-050234,10-Q,20250930,2025,39182823000.0,16709615000.0,22507398000.0,1873477000.0,461544000.0,409440000.0,13945026000.0,,13945026000.0,39182823000.0,1411933000.0,-34190000.0,0.3558964089953396,0.5744200207320437,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly,2025-09-30,2025,3,0,6,healthy,0.4557564051225995,0,0.3995043538262908,0.25281103981838,0.4557564051225995,0.2914325550590204,0.39852731734789015,0.39852731734789015,1.0,0.45
healthy,Cisco,data/healthy/Cisco/0000858877-25-000171.txt,healthy/Cisco/0000858877-25-000171.txt,"CISCO SYSTEMS, INC.",858877.0,0000858877-25-000171,10-Q,20251025,2025,121102000000.0,74229000000.0,48167000000.0,11077000000.0,2860000000.0,3363000000.0,8401000000.0,7336000000.0,15737000000.0,121102000000.0,8217000000.0,-1294000000.0,0.1299483080378524,0.3977390959686875,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL,2025-10-25,2025,4,0,6,healthy,0.5372148890122991,0,0.342913083502266,0.1705683222328476,0.5372148890122991,0.2922167887548533,0.31667671661027424,0.31667671661027424,1.0,0.45
risky,Cloudflare,data/risky/Cloudflare/0001477333-25-000141.txt,risky/Cloudflare/0001477333-25-000141.txt,"Cloudflare, Inc.",1477333.0,0001477333-25-000141,10-Q,20250930,2025,5786395000.0,4439379000.0,1347016000.0,562027000.0,1290000.0,37460000.0,1059492000.0,,1059492000.0,5786395000.0,560737000.0,0.0,0.1831005315053673,0.232790191475003,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-09-30,2025,3,0,6,risky,0.4571128862348529,0,0.7282696197764219,0.3226337148256569,0.2202533989394901,0.4571128862348529,0.5511901579430833,0.5511901579430833,1.0,0.45
failed,Cyxtera Technologies,data/failed/Cyxtera Technologies/0001794905-23-000048.txt,failed/Cyxtera Technologies/0001794905-23-000048.txt,"Cyxtera Technologies, Inc.",1794905.0,0001794905-23-000048,10-Q,20230331,2023,2769600000.0,2705300000.0,64300000.0,196700000.0,325400000.0,291900000.0,61900000.0,,61900000.0,2769600000.0,-128700000.0,0.0,0.0223497978047371,0.0232163489312536,0.05,0.08,False,False,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2023-03-31,2023,1,0,6,failed,0.6558313384501314,0,0.770517068813351,0.6558313384501314,0.146609182431443,0.1975594791184255,0.7546110780093441,0.7546110780093441,1.0,0.45
