company_bucket,company_folder,file_path,rel_path,company_name,cik,accession_number,form_type,period_of_report,fiscal_year,A_Total_Assets,L_Total_Liabilities,E_Total_Equity,R_Total_Revenue,Pi_Net_Income,Operating_Income,Cash_CashEquiv,Marketable_Securities,H_HQLA_Proxy,BS_Check_LplusE,C_Derived_Cost,BS_Residual_A_minus_L_minus_E,Liquidity_Ratio_H_over_A,Capital_Ratio_E_over_A,Lambda_Assumed,Kappa_Assumed,Liquidity_Pass_H_ge_lambdaA,Capital_Pass_E_ge_kappaA,flags,period_dt,q_year,q_num,form_pri,completeness
failed,3D Systems,data/failed/3D Systems/0000912057-96-008387.txt,failed/3D Systems/0000912057-96-008387.txt,3 D SYSTEMS CORP,0000910638,0000912057-96-008387,10-Q,19960329,1996,,,62950455.0,3768121.0,1330996.0,1360239.0,38258927.0,,38258927.0,,2437125.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly,1996-03-29,1996,1,0,4
failed,3D Systems,data/failed/3D Systems/0000912057-96-016839.txt,failed/3D Systems/0000912057-96-016839.txt,3 D SYSTEMS CORP,0000910638,0000912057-96-016839,10-Q,19960628,1996,,,62950455.0,3768121.0,1410533.0,1415477.0,38258927.0,,38258927.0,,2357588.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly,1996-06-28,1996,2,0,4
failed,3D Systems,data/failed/3D Systems/0000912057-96-025398.txt,failed/3D Systems/0000912057-96-025398.txt,3 D SYSTEMS CORP,0000910638,0000912057-96-025398,10-Q,19960927,1996,,,62950455.0,3768121.0,4865705.0,1454908.0,38258927.0,,38258927.0,,-1097584.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly,1996-09-27,1996,3,0,4
failed,3D Systems,data/failed/3D Systems/0000912057-97-011334.txt,failed/3D Systems/0000912057-97-011334.txt,3 D SYSTEMS CORP,0000910638,0000912057-97-011334,8-K,19961231,1996,,,62950455.0,,-2774.0,3109.0,-1.0,-1.0,-2.0,,,,,,0.05,0.08,,,SGML_NoMatchingType;MissingH;LabelFallback_Tight;8K_QuarterEnd_Inferred,1996-12-31,1996,4,1,3
failed,3D Systems,data/failed/3D Systems/0000912057-97-016972.txt,failed/3D Systems/0000912057-97-016972.txt,3 D SYSTEMS CORP,0000910638,0000912057-97-016972,10-Q,19970328,1997,,,68702590.0,5572892.0,1121243.0,1484001.0,24356441.0,3759492.0,28115933.0,,4451649.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,1997-03-28,1997,1,0,4
failed,3D Systems,data/failed/3D Systems/0000912057-97-026974.txt,failed/3D Systems/0000912057-97-026974.txt,3 D SYSTEMS CORP,0000910638,0000912057-97-026974,10-Q,19970627,1997,,,68702590.0,5572892.0,801068.0,,24356441.0,3759492.0,28115933.0,,4771824.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,1997-06-27,1997,2,0,4
failed,3D Systems,data/failed/3D Systems/0001047469-97-003396.txt,failed/3D Systems/0001047469-97-003396.txt,3 D SYSTEMS CORP,0000910638,0001047469-97-003396,10-Q,19970926,1997,,,68702590.0,5572892.0,1015404.0,,24356441.0,3759492.0,28115933.0,,4557488.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,1997-09-26,1997,3,0,4
failed,3D Systems,data/failed/3D Systems/0001047469-98-019186.txt,failed/3D Systems/0001047469-98-019186.txt,3 D SYSTEMS CORP,0000910638,0001047469-98-019186,10-Q,19980327,1998,,,64595045.0,6514868.0,387546.0,348306.0,12694831.0,3498265.0,16193096.0,,6127322.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,1998-03-27,1998,1,0,4
failed,3D Systems,data/failed/3D Systems/0001047469-98-030159.txt,failed/3D Systems/0001047469-98-030159.txt,3 D SYSTEMS CORP,0000910638,0001047469-98-030159,10-Q,19980626,1998,,,64595045.0,6514868.0,-279681.0,,12694831.0,3498265.0,16193096.0,,6794549.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,1998-06-26,1998,2,0,4
failed,3D Systems,data/failed/3D Systems/0001047469-98-039628.txt,failed/3D Systems/0001047469-98-039628.txt,3 D SYSTEMS CORP,0000910638,0001047469-98-039628,10-Q,19980925,1998,,,64595045.0,6514868.0,-2134759.0,,12694831.0,3498265.0,16193096.0,,8649627.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,1998-09-25,1998,3,0,4
failed,3D Systems,data/failed/3D Systems/0001047469-99-021095.txt,failed/3D Systems/0001047469-99-021095.txt,3 D SYSTEMS CORP,0000910638,0001047469-99-021095,10-Q,19990402,1999,,,66556910.0,9013559.0,354388.0,,15911793.0,3484641.0,19396434.0,,8659171.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,1999-04-02,1999,2,0,4
failed,3D Systems,data/failed/3D Systems/0001047469-99-032547.txt,failed/3D Systems/0001047469-99-032547.txt,3 D SYSTEMS CORP,0000910638,0001047469-99-032547,10-Q,19990702,1999,,,66556910.0,9013559.0,525635.0,,15911793.0,3484641.0,19396434.0,,8487924.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,1999-07-02,1999,3,0,4
failed,3D Systems,data/failed/3D Systems/0000912057-00-014478.txt,failed/3D Systems/0000912057-00-014478.txt,3 D SYSTEMS CORP,0000910638,0000912057-00-014478,10-Q,19991001,1999,,,66556910.0,9013559.0,476921.0,2.0,1.0,3484641.0,3484642.0,,8536638.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,1999-10-01,1999,4,0,4
failed,3D Systems,data/failed/3D Systems/0000912057-00-023886.txt,failed/3D Systems/0000912057-00-023886.txt,3 D SYSTEMS CORP,0000910638,0000912057-00-023886,10-Q,20000331,2000,,,60491.0,,1080.0,,11308.0,-498.0,10810.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2000-03-31,2000,1,0,3
failed,3D Systems,data/failed/3D Systems/0000912057-00-037231.txt,failed/3D Systems/0000912057-00-037231.txt,3 D SYSTEMS CORP,0000910638,0000912057-00-037231,10-Q,20000630,2000,,,63742.0,,6.2,,13537.0,-498.0,13039.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2000-06-30,2000,2,0,3
failed,3D Systems,data/failed/3D Systems/a2029896z10-q.txt,failed/3D Systems/a2029896z10-q.txt,3D Systems,,,10-Q,20000929,2000,,,65660.0,,2771.0,,12227.0,-497.0,11730.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2000-09-29,2000,3,0,3
failed,3D Systems,data/failed/3D Systems/0001104659-01-502438.txt,failed/3D Systems/0001104659-01-502438.txt,3 D SYSTEMS CORP,0000910638,0001104659-01-502438,8-K,20001231,2000,,,,548000.0,1.0,1.0,10.0,,10.0,,547999.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly;8K_QuarterEnd_Inferred,2000-12-31,2000,4,1,3
failed,3D Systems,data/failed/3D Systems/j0684_10q.htm,failed/3D Systems/j0684_10q.htm,3D Systems,,,10-Q,20010330,2001,,,,11471000.0,1080000.0,1594000.0,,,,,10391000.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:R_Total_Revenue;HTML:Pi_Net_Income;HTML:Operating_Income;MissingH,2001-03-30,2001,1,0,2
failed,3D Systems,data/failed/3D Systems/0001104659-01-501657.txt,failed/3D Systems/0001104659-01-501657.txt,3 D SYSTEMS CORP,0000910638,0001104659-01-501657,10-Q,20010629,2001,,,,,0.0,2.8,15.0,,15.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly,2001-06-29,2001,2,0,2
failed,3D Systems,data/failed/3D Systems/0001104659-01-503008.txt,failed/3D Systems/0001104659-01-503008.txt,3 D SYSTEMS CORP,0000910638,0001104659-01-503008,10-Q,20010928,2001,,,,,1.0,160.0,4.0,,4.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly,2001-09-28,2001,3,0,2
failed,3D Systems,data/failed/3D Systems/0001104659-02-000979.txt,failed/3D Systems/0001104659-02-000979.txt,3 D SYSTEMS CORP,0000910638,0001104659-02-000979,10-Q,20011231,2001,,,,,2.0,12.3,1.0,1.0,2.0,,,,,,0.05,0.08,,,SGML_Primary_HTMLFallback;MissingH;LabelFallback_Tight,2001-12-31,2001,4,0,2
failed,3D Systems,data/failed/3D Systems/j3689_10q.htm,failed/3D Systems/j3689_10q.htm,3D Systems,,,10-Q,20020329,2002,,,,,2.0,2.1,2.0,,2.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly,2002-03-29,2002,1,0,2
failed,3D Systems,data/failed/3D Systems/j4292_10q.htm,failed/3D Systems/j4292_10q.htm,3D Systems,,,10-Q,20020628,2002,,,,,2.0,1.3,1.0,,1.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly,2002-06-28,2002,2,0,2
failed,3D Systems,data/failed/3D Systems/0001011438-02-000567.txt,failed/3D Systems/0001011438-02-000567.txt,3 D SYSTEMS CORP,0000910638,0001011438-02-000567,10-Q,20020927,2002,,,75597.0,107204.0,-1341.0,0.7,1032.0,,1032.0,,108545.0,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly,2002-09-27,2002,3,0,4
failed,3D Systems,data/failed/3D Systems/0001193125-03-019218.txt,failed/3D Systems/0001193125-03-019218.txt,3D SYSTEMS CORP,0000910638,0001193125-03-019218,10-Q,20030328,2003,,,,,8694000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2003-03-28,2003,1,0,1
failed,3D Systems,data/failed/3D Systems/form_10-q.txt,failed/3D Systems/form_10-q.txt,3D Systems,,,10-Q,20030627,2003,,61197.0,50890.0,15119.0,-0.44,3.0,1269.0,,1269.0,,15119.44,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly,2003-06-27,2003,2,0,5
failed,3D Systems,data/failed/3D Systems/d10q.htm,failed/3D Systems/d10q.htm,3D Systems,,,10-Q,20030926,2003,,,,,854000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2003-09-26,2003,3,0,1
failed,3D Systems,data/failed/3D Systems/0001047469-04-007939.txt,failed/3D Systems/0001047469-04-007939.txt,3D SYSTEMS CORP,0000910638,0001047469-04-007939,8-K,20031231,2003,,,,,1.0,-2.0,21.7,,21.7,,,,,,0.05,0.08,,,SGML_Primary_HTMLFallback;HTMLTables_Targeted;HTML:Cash_CashEquiv;HProxyIsCashOnly;LabelFallback_Tight;8K_QuarterEnd_Inferred,2003-12-31,2003,4,1,2
failed,3D Systems,data/failed/3D Systems/0001104659-04-012243.txt,failed/3D Systems/0001104659-04-012243.txt,3D SYSTEMS CORP,0000910638,0001104659-04-012243,10-Q,20040331,2004,,,,,2.0,,1.0,0.0,1.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2004-03-31,2004,1,0,2
failed,3D Systems,data/failed/3D Systems/ddd-20150630x10q.htm,failed/3D Systems/ddd-20150630x10q.htm,3D Systems,,,10-Q,20040630,2004,1525970000.0,222973000.0,1292918000.0,,7002000.0,,284862000.0,,284862000.0,,,10079000.0,0.1866760159111909,0.8472761587711423,0.05,0.08,True,True,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:A_Total_Assets;HTML:L_Total_Liabilities;HTML:E_Total_Equity;HTML:Cash_CashEquiv;HTML:Pi_Net_Income;HProxyIsCashOnly,2004-06-30,2004,2,0,5
failed,3D Systems,data/failed/3D Systems/a04-12500_210q.htm,failed/3D Systems/a04-12500_210q.htm,3D Systems,,,10-Q,20040930,2004,,,,,8.0,,16.0,,16.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight;HProxyIsCashOnly,2004-09-30,2004,3,0,2
