company_folder,company_name,cik,form_type,period_dt,q_year,q_num,label,label_num
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1996-03-29,1996,1,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1996-06-28,1996,2,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1996-09-27,1996,3,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,8-K,1996-12-31,1996,4,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1997-03-28,1997,1,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1997-06-27,1997,2,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1997-09-26,1997,3,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1998-03-27,1998,1,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1998-06-26,1998,2,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1998-09-25,1998,3,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1999-04-02,1999,2,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1999-07-02,1999,3,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,1999-10-01,1999,4,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,2000-03-31,2000,1,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,2000-06-30,2000,2,failed,2
3D Systems,3D Systems,,10-Q,2000-09-29,2000,3,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,8-K,2000-12-31,2000,4,failed,2
3D Systems,3D Systems,,10-Q,2001-03-30,2001,1,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,2001-06-29,2001,2,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,2001-09-28,2001,3,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,2001-12-31,2001,4,failed,2
3D Systems,3D Systems,,10-Q,2002-03-29,2002,1,failed,2
3D Systems,3D Systems,,10-Q,2002-06-28,2002,2,failed,2
3D Systems,3 D SYSTEMS CORP,910638.0,10-Q,2002-09-27,2002,3,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2003-03-28,2003,1,failed,2
3D Systems,3D Systems,,10-Q,2003-06-27,2003,2,failed,2
3D Systems,3D Systems,,10-Q,2003-09-26,2003,3,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,8-K,2003-12-31,2003,4,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2004-03-31,2004,1,failed,2
3D Systems,3D Systems,,10-Q,2004-06-30,2004,2,failed,2
3D Systems,3D Systems,,10-Q,2004-09-30,2004,3,failed,2
3D Systems,3D Systems,,10-Q,2004-12-31,2004,4,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2005-03-31,2005,1,failed,2
3D Systems,3D Systems,,10-Q,2005-06-30,2005,2,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2005-09-30,2005,3,failed,2
3D Systems,3D Systems,,10-Q,2006-03-31,2006,1,failed,2
3D Systems,3D Systems,,10-Q,2006-06-30,2006,2,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2006-09-30,2006,3,failed,2
3D Systems,3D Systems,,10-Q,2006-12-31,2006,4,failed,2
3D Systems,3D Systems,,10-Q,2007-03-31,2007,1,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2007-06-30,2007,2,failed,2
3D Systems,3D Systems,,10-Q,2007-09-30,2007,3,failed,2
3D Systems,3D Systems,,10-Q,2008-03-31,2008,1,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2008-06-30,2008,2,failed,2
3D Systems,3D Systems,,10-Q,2008-09-30,2008,3,failed,2
3D Systems,3D Systems,,8-K,2008-12-31,2008,4,failed,2
3D Systems,3D Systems,,10-Q,2009-03-31,2009,1,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2009-06-30,2009,2,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2009-09-30,2009,3,failed,2
3D Systems,3D Systems,,8-K,2009-12-31,2009,4,failed,2
3D Systems,3D Systems,,10-Q,2010-03-31,2010,1,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2010-06-30,2010,2,failed,2
3D Systems,3D Systems,,10-Q,2010-09-30,2010,3,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2011-03-31,2011,1,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2011-06-30,2011,2,failed,2
3D Systems,3D Systems,,10-Q,2011-09-30,2011,3,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,8-K,2011-12-31,2011,4,failed,2
3D Systems,3D Systems,,10-Q,2012-03-31,2012,1,failed,2
3D Systems,3D Systems,,10-Q,2012-06-30,2012,2,failed,2
3D Systems,3D Systems,,10-Q,2012-09-30,2012,3,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,8-K,2012-12-31,2012,4,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2013-03-31,2013,1,failed,2
3D Systems,3D Systems,,10-Q,2013-06-30,2013,2,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2013-09-30,2013,3,failed,2
3D Systems,3D Systems,,10-Q,2014-03-31,2014,1,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2014-06-30,2014,2,failed,2
3D Systems,3D Systems,,10-Q,2014-09-30,2014,3,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2015-03-31,2015,1,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2015-06-30,2015,2,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2015-09-30,2015,3,failed,2
3D Systems,3D Systems,,8-K,2015-12-31,2015,4,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2016-03-31,2016,1,failed,2
3D Systems,3D Systems,,10-Q,2016-06-30,2016,2,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2016-09-30,2016,3,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,8-K,2016-12-31,2016,4,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2017-03-31,2017,1,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2017-06-30,2017,2,failed,2
3D Systems,3D Systems,,10-Q,2017-09-30,2017,3,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,8-K,2017-12-31,2017,4,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2018-03-31,2018,1,failed,2
3D Systems,3D Systems,,10-Q,2018-06-30,2018,2,failed,2
3D Systems,3D Systems,,10-Q,2018-09-30,2018,3,failed,2
3D Systems,3D Systems,,10-Q,2018-12-31,2018,4,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2019-03-31,2019,1,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2019-06-30,2019,2,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2019-09-30,2019,3,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2019-12-31,2019,4,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2020-03-31,2020,1,failed,2
3D Systems,3D SYSTEMS CORP,910638.0,10-Q,2020-06-30,2020,2,failed,2
